album_name,track_title,track_n,lyric_sentimiento
Taylor Swift,Cold As You,5,0.3041
Taylor Swift,Should've Said No,9,0.3839
Red (Deluxe Edition),Treacherous,3,-0.3907
Red (Deluxe Edition),Treacherous (Original Demo Recording),20,-0.3907
1989 (Deluxe),How You Get the Girl,10,-0.1779
reputation,End Game,2,-0.3139
reputation,Delicate,5,0.4188
Lover,I Forgot That You Existed,1,0.1779
folklore (deluxe version),​the lakes,17,0.2783
evermore (deluxe version),champagne problems,2,0.3895
